MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052867,,,23/01/2018,12:00:00AM,530.000,0.000,61.000,121.184,270.075,260.032,0.053,0.000,,,,,32.729,29.028,62.946,58.238
5052868,,,23/01/2018,12:00:00AM,1217.000,0.000,1025.000,27.336,880.685,337.175,0.042,0.000,,,,,744.973,280.433,9.207,18.129
5052869,,,23/01/2018,12:00:00AM,186.000,0.000,10.000,144.477,117.113,69.153,0.042,0.000,,,,,9.373,1.460,69.179,75.298
5052870,,,23/01/2018,12:00:00AM,108.000,0.000,40.000,32.776,71.414,37.536,0.042,0.000,,,,,20.711,19.830,17.186,15.590
5052871,,,23/01/2018,12:00:00AM,1503.000,0.000,1328.000,0.004,977.286,526.520,0.042,0.000,,,,,999.282,329.039,0.004,0.000
5052872,,,23/01/2018,12:00:00AM,187.000,0.000,18.000,431.395,111.346,76.170,0.042,0.000,,,,,18.124,0.000,212.824,218.571
5052873,,,23/01/2018,12:00:00AM,357.000,0.000,282.000,2.044,258.685,98.961,0.042,0.000,,,,,217.204,65.066,0.854,1.190
5052874,,,23/01/2018,12:00:00AM,11.000,0.000,1.000,0.001,11.935,0.000,0.042,0.000,,,,,1.489,0.000,0.001,0.000
5052875,,,23/01/2018,12:00:00AM,1214.000,0.000,200.000,39.495,705.522,508.526,0.042,0.000,,,,,142.135,58.685,11.192,28.303
5052876,,,23/01/2018,12:00:00AM,1303.000,0.000,73.000,64.083,530.891,772.302,0.042,0.000,,,,,5.506,68.322,34.540,29.543
5052877,,,23/01/2018,12:00:00AM,1566.000,0.000,61.000,36.613,923.765,642.730,0.042,0.000,,,,,15.275,46.233,21.688,14.925
