MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5053026,,,13/01/2018,12:00:00AM,92.000,0.000,5.000,0.288,58.119,34.035,0.066,0.000,,,,,4.750,0.697,0.190,0.098
5053027,,,13/01/2018,12:00:00AM,986.000,0.000,977.000,0.023,826.917,159.382,0.066,0.000,,,,,883.757,93.937,0.023,0.000
5053028,,,13/01/2018,12:00:00AM,279.000,0.000,1.000,116.225,243.281,36.514,0.066,0.000,,,,,1.285,0.119,69.732,46.493
5053029,,,13/01/2018,12:00:00AM,3513.000,0.000,732.000,453.729,2246.517,1266.679,0.066,0.000,,,,,659.509,73.413,112.986,340.743
5053030,,,13/01/2018,12:00:00AM,381.000,0.000,238.000,1.216,252.471,129.154,0.052,0.000,,,,,136.712,101.924,1.180,0.036
5053031,,,13/01/2018,12:00:00AM,726.000,0.000,521.000,29.464,645.185,81.067,0.052,0.000,,,,,509.412,12.033,8.661,20.803
5053032,,,13/01/2018,12:00:00AM,48.000,0.000,4.000,25.339,40.572,8.157,0.052,0.000,,,,,4.240,0.000,12.373,12.966
5053033,,,13/01/2018,12:00:00AM,322.000,0.000,186.000,0.072,188.205,134.345,0.052,0.000,,,,,112.275,73.846,0.072,0.000
5053034,,,13/01/2018,12:00:00AM,1045.000,0.000,716.000,2.360,922.897,122.569,0.052,0.000,,,,,648.018,68.374,0.806,1.554
5053035,,,13/01/2018,12:00:00AM,935.000,0.000,568.000,19.092,737.499,197.563,0.052,0.000,,,,,518.920,49.454,5.537,13.555
5053036,,,13/01/2018,12:00:00AM,585.000,0.000,248.000,0.010,385.392,199.638,0.052,0.000,,,,,136.221,112.041,0.010,0.000
5053037,,,13/01/2018,12:00:00AM,380.000,0.000,299.000,41.067,286.791,93.228,0.052,0.000,,,,,287.215,11.818,13.561,27.506
5053038,,,13/01/2018,12:00:00AM,3437.000,0.000,436.000,273.508,2588.448,848.998,0.052,0.000,,,,,396.013,40.075,120.364,153.144
